,precision,recall,f1-score,support
Crack,0.8657587548638133,0.5816993464052288,0.6958561376075059,765.0
Lack_of_penetration,0.6406926406926406,0.6636771300448431,0.6519823788546255,446.0
No_defect,0.850091407678245,0.775,0.8108108108108109,600.0
Porosity,0.6108695652173913,0.8892405063291139,0.7242268041237113,632.0
accuracy,0.7237003683995088,0.7237003683995088,0.7237003683995088,0.7237003683995088
macro avg,0.7418530921130225,0.7274042456947964,0.7207190328491634,2443.0
weighted avg,0.7548828387409222,0.7237003683995088,0.7234187118017097,2443.0
