Experiment,Training Strategy,Best Validation Accuracy,Test Accuracy
ResNet-18 Baseline,Frozen backbone + final classifier,0.7195541714473037,0.7237003683995088
ResNet-18 Fine-tuned,Layer4 + final classifier fine-tuning,0.9809867234879528,0.986901350798199
