,precision,recall,f1-score,support
Crack,0.9806451612903225,0.9934640522875817,0.987012987012987,765.0
Lack_of_penetration,0.9931350114416476,0.9730941704035875,0.9830124575311439,446.0
No_defect,1.0,0.9833333333333333,0.9915966386554622,600.0
Porosity,0.9781591263650546,0.9920886075949367,0.9850746268656716,632.0
accuracy,0.986901350798199,0.986901350798199,0.986901350798199,0.986901350798199
macro avg,0.9879848247742562,0.9854950409048597,0.9866741775163161,2443.0
weighted avg,0.987035747586077,0.986901350798199,0.9869069334818694,2443.0
